,City,Latitude,Longitude,Max Temperature (°C),Humidity,Cloudiness,Wind Speed,Country,Date
319,port hardy,-7.0349,29.7638,23.63,79,100,3.02,CD,1643979979
320,port elizabeth,-7.0349,29.7638,23.63,79,100,3.02,CD,1643979878
321,esperance,-33.8667,121.9,21.05,65,0,8.36,AU,1643979980
322,zharkent,44.1628,80.0,-1.91,61,20,0.48,KZ,1643979980
323,northam,51.0333,-4.2167,8.9,72,14,10.02,GB,1643979980
324,cockeysville,39.4812,-76.6439,15.44,94,100,6.28,US,1643979981
325,lavrentiya,65.5833,-171.0,-17.06,53,0,9.25,RU,1643979981
326,kitui,-1.367,38.0106,28.97,33,100,5.2,KE,1643979982
327,gucheng,35.9115,111.3192,-0.23,36,98,2.36,CN,1643979983
328,touros,-5.1989,-35.4608,30.5,56,75,7.21,BR,1643979983
329,gat,31.61,34.7642,13.38,12,97,8.07,IL,1643979983
330,kurumkan,54.3,110.3,-21.48,93,100,1.66,RU,1643979983
331,salto,-31.3833,-57.9667,28.63,56,1,1.41,UY,1643979884
332,opuwo,-18.0607,13.84,32.96,18,16,3.96,NA,1643979984
333,dalbandin,28.8947,64.4101,15.88,14,0,3.78,PK,1643979985
334,marshall,34.3834,-86.3333,3.51,80,100,3.6,US,1643979985
335,imola,44.3523,11.7158,11.88,77,87,1.23,IT,1643979985
336,sao filipe,20.5113,76.2129,20.34,17,0,2.67,IN,1643979913
337,yulara,-25.2406,130.9889,22.91,35,0,3.09,AU,1643979986
338,meadow lake,45.5291,-102.2163,-14.17,68,17,5.48,US,1643979986
339,sao jose da coroa grande,20.5113,76.2129,20.34,17,0,2.67,IN,1643979881
340,matamoros,25.5333,-103.25,4.06,66,75,7.2,MX,1643979986
341,gisborne,-38.6533,178.0042,18.76,82,1,5.94,NZ,1643979987
342,caravelas,-17.7125,-39.2481,27.1,70,100,1.51,BR,1643979987
343,kimbe,-5.5502,150.1429,25.69,89,84,0.94,PG,1643979987
344,leningradskiy,69.3833,178.4167,-27.53,89,3,2.2,RU,1643979988
345,harper,4.375,-7.7169,29.24,65,100,3.4,LR,1643979988
346,dawlatabad,36.4141,64.9053,10.18,37,2,5.36,AF,1643979988
347,nyurba,63.2842,118.3319,-31.57,99,51,1.38,RU,1643979926
348,coquimbo,-29.9533,-71.3436,18.85,72,75,1.54,CL,1643979989
349,mehamn,71.0357,27.8492,-7.9,77,100,10.1,NO,1643979989
350,beidao,34.5686,105.8933,-5.06,82,16,0.61,CN,1643979989
351,katangli,51.7102,143.2326,-15.12,94,100,7.97,RU,1643979990
352,springdale,36.1867,-94.1288,-8.15,89,40,2.24,US,1643979990
353,madang,-5.2246,145.7966,25.85,89,67,2.41,PG,1643979990
354,tarabuco,-19.1667,-64.9167,10.33,82,100,1.64,BO,1643979990
355,san francisco menendez,13.3034,-4.8956,32.01,7,0,6.04,ML,1643979912
356,imeni poliny osipenko,7.3199,5.9646,35.61,15,0,3.12,NG,1643979991
357,port-gentil,-0.7193,8.7815,26.7,77,94,3.83,GA,1643979991
358,alenquer,-1.9417,-54.7383,26.19,88,100,0.89,BR,1643979992
359,srednekolymsk,67.45,153.6833,-35.9,100,100,0.16,RU,1643979992
360,salinas,36.6777,-121.6555,11.13,64,0,3.09,US,1643979993
361,lagoa,39.05,-27.9833,14.37,79,99,7.59,PT,1643979993
362,itoman,26.1247,127.6694,16.01,84,75,8.23,JP,1643979831
